Couple,AgeDifference,MarriedvsDivorced,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes
1,3,0,1,0,0,0,1,0,1,0
2,0,0,1,0,0,0,1,0,1,0
3,0,0,1,0,0,0,1,0,1,0
4,3,1,1,0,0,0,1,0,1,0
5,1,0,1,0,0,0,1,0,1,0
6,2,1,1,0,0,0,1,0,1,0
7,7,0,1,0,0,0,1,0,1,0
8,3,0,1,0,0,0,1,0,1,0
9,0,1,1,0,0,0,1,0,1,0
10,0,0,1,0,0,0,1,0,0,1
11,6,1,1,0,0,0,1,0,0,1
12,2,1,1,0,0,0,1,0,0,1
13,4,0,1,0,0,0,1,0,0,1
14,1,0,1,0,0,0,1,0,0,1
15,0,1,1,0,0,0,1,0,0,1
16,7,0,1,0,0,0,1,0,0,1
17,6,0,1,0,0,0,1,0,0,1
18,2,0,1,0,0,0,1,0,0,1
